Dataset,Feature,Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
Original (raw),BoW,MultinomialNB,0.6666666666666666,0.6768271496391525,0.511826339376388,0.5450744527264626,0.6587877671597705
Original (raw),BoW,LinearSVM,0.7145708582834331,0.6898260140546844,0.6487677157131579,0.659912109627231,0.713373479165776
Original (raw),BoW,XGBoost,0.6706586826347305,0.5981169292322083,0.5575158688029866,0.5719425488075489,0.6676081624415315
Original (raw),TF-IDF,MultinomialNB,0.626746506986028,0.45835222829856254,0.3701769574765053,0.3800038502772681,0.6025804388796683
Original (raw),TF-IDF,LinearSVM,0.7355289421157685,0.6901127340520186,0.637006839015573,0.6573754518499926,0.73334630901569
Original (raw),TF-IDF,XGBoost,0.6427145708582834,0.6067984521951092,0.550906497065097,0.5717796427928226,0.6418216052135596
Original (raw),Word2Vec-SG,LinearSVM,0.2994011976047904,0.17616613278516607,0.17092175274253035,0.15487648346458363,0.2545730071879831
Original (raw),Word2Vec-SG,XGBoost,0.42015968063872255,0.4172795039297429,0.3045558738791942,0.32625647825623644,0.4106706997369684
Original (raw),Word2Vec-CBOW,LinearSVM,0.23952095808383234,0.21004471350374154,0.11747295248049955,0.1106108739255977,0.1939486549539902
Original (raw),Word2Vec-CBOW,XGBoost,0.41417165668662675,0.35790148758181095,0.2945916814841971,0.3101115301340707,0.40010587980513895
Original (raw),FastText,LinearSVM,0.17265469061876249,0.041132204884740384,0.07399880724252028,0.042209956958719964,0.09339701499924756
Original (raw),FastText,XGBoost,0.3283433133732535,0.3142930647867466,0.22497295908414416,0.24502723417955408,0.3175825470085979
Original (raw),BERT,LinearSVM,0.7614770459081837,0.7634245796712926,0.705558179038404,0.7232736323107589,0.7608993119372558
Original (raw),BERT,XGBoost,0.7574850299401198,0.7729067279412911,0.6494967697925506,0.6834366694950991,0.7541847851303715
Original (raw),GPT,LinearSVM,0.7554890219560878,0.7436059674045907,0.6937546445138433,0.7079484047078455,0.7543695919296948
Original (raw),GPT,XGBoost,0.7425149700598802,0.7065953832590938,0.6152227150031025,0.646081634220458,0.7370113186673479
pyarabic aggressive preprocessed,BoW,MultinomialNB,0.6916167664670658,0.7124555109273111,0.5173518275812024,0.5569973932656762,0.6845292247267136
pyarabic aggressive preprocessed,BoW,LinearSVM,0.7255489021956087,0.7034438597624771,0.6528961880337801,0.6713719467255652,0.7250404142648809
pyarabic aggressive preprocessed,BoW,XGBoost,0.6487025948103793,0.5536551401707361,0.5080166898569233,0.5214586381422739,0.6446954791860764
pyarabic aggressive preprocessed,TF-IDF,MultinomialNB,0.6437125748502994,0.47464328915296566,0.3938414753479948,0.4071275647997398,0.6239654855020075
pyarabic aggressive preprocessed,TF-IDF,LinearSVM,0.7345309381237525,0.7142152848407806,0.6373925215021643,0.6651029980677938,0.7335771259272488
pyarabic aggressive preprocessed,TF-IDF,XGBoost,0.6347305389221557,0.6297837719414838,0.528689297323444,0.5610839556291384,0.6357947113432744
pyarabic aggressive preprocessed,Word2Vec-SG,LinearSVM,0.26746506986027946,0.21350963844702925,0.12993221757943987,0.11293160533972821,0.21301194492136574
pyarabic aggressive preprocessed,Word2Vec-SG,XGBoost,0.47005988023952094,0.539223408722643,0.35329665317006836,0.39617581010337743,0.4647949693989467
pyarabic aggressive preprocessed,Word2Vec-CBOW,LinearSVM,0.23952095808383234,0.18799631023803165,0.10940445726762921,0.08992956686771666,0.17790169190362765
pyarabic aggressive preprocessed,Word2Vec-CBOW,XGBoost,0.5289421157684631,0.5708878666249833,0.4300048930363014,0.4726970633595015,0.5244286256082464
pyarabic aggressive preprocessed,FastText,LinearSVM,0.15868263473053892,0.02674899267240905,0.06518569780853518,0.033152357788221544,0.07550625783409055
pyarabic aggressive preprocessed,FastText,XGBoost,0.312375249500998,0.29119209764601117,0.21130369953967482,0.22956592217130442,0.30387273384968355
pyarabic aggressive preprocessed,BERT,LinearSVM,0.7425149700598802,0.7272646228330636,0.7180448779225541,0.7180192766670871,0.7431128200760785
pyarabic aggressive preprocessed,BERT,XGBoost,0.7524950099800399,0.7599334372343434,0.6603369394132287,0.6912597675745462,0.7504359451584257
pyarabic aggressive preprocessed,GPT,LinearSVM,0.6806387225548902,0.6376496775308633,0.6177762766396997,0.61959174962879,0.6807186383597463
pyarabic aggressive preprocessed,GPT,XGBoost,0.7095808383233533,0.7229386483089199,0.593597469574794,0.6348419047223035,0.7069612147809304
pyarabic hamza only preprocessed,BoW,MultinomialNB,0.6676646706586826,0.6771634571448357,0.5122969276116821,0.5454718784572288,0.659760814185913
pyarabic hamza only preprocessed,BoW,LinearSVM,0.7155688622754491,0.6764070917340426,0.648792671149878,0.6546970744754231,0.714553814106326
pyarabic hamza only preprocessed,BoW,XGBoost,0.6686626746506986,0.5923662664836866,0.558392296419676,0.5692887021124653,0.6656013854424259
pyarabic hamza only preprocessed,TF-IDF,MultinomialNB,0.625748502994012,0.4581843015478081,0.36947667736446055,0.3794799811142729,0.6017031140747824
pyarabic hamza only preprocessed,TF-IDF,LinearSVM,0.7375249500998003,0.6883481968968936,0.6397622708014336,0.6577594601691233,0.7353986660131062
pyarabic hamza only preprocessed,TF-IDF,XGBoost,0.6516966067864272,0.617223914396647,0.5560604109718646,0.5796746190525796,0.6512150493009181
pyarabic hamza only preprocessed,Word2Vec-SG,LinearSVM,0.3213572854291417,0.2217180272873982,0.18516742315527157,0.16986573756177148,0.2792468262637676
pyarabic hamza only preprocessed,Word2Vec-SG,XGBoost,0.4301397205588822,0.35359266341100426,0.3111874806180946,0.3203781185530437,0.4182138772980025
pyarabic hamza only preprocessed,Word2Vec-CBOW,LinearSVM,0.25748502994011974,0.2027506546735565,0.1281909703092713,0.12055981749731286,0.20932380236668077
pyarabic hamza only preprocessed,Word2Vec-CBOW,XGBoost,0.40718562874251496,0.34654401694598785,0.28211817160186503,0.2967337941522735,0.39334862125395725
pyarabic hamza only preprocessed,FastText,LinearSVM,0.1626746506986028,0.028287554337974505,0.06851980007689351,0.036827825421208236,0.08255112533910676
pyarabic hamza only preprocessed,FastText,XGBoost,0.31137724550898205,0.2992925981726592,0.2065542154219374,0.22679733047809628,0.3025368916522287
pyarabic hamza only preprocessed,BERT,LinearSVM,0.7485029940119761,0.7356544210712898,0.6967281446534606,0.7097312208774035,0.7484969759831823
pyarabic hamza only preprocessed,BERT,XGBoost,0.7524950099800399,0.76426485941903,0.641788820354007,0.681106324593365,0.7494198666868495
pyarabic hamza only preprocessed,GPT,LinearSVM,0.7325349301397206,0.705497736954397,0.6743125145561424,0.6858837441418845,0.7309387591443769
pyarabic hamza only preprocessed,GPT,XGBoost,0.7305389221556886,0.6408771583829105,0.5693320279538086,0.5947392200532055,0.7216793909662506
pyarabic hamza tashkeel preprocessed,BoW,MultinomialNB,0.6686626746506986,0.6779183355946823,0.5074098528002414,0.5393029437042199,0.6605785220521164
pyarabic hamza tashkeel preprocessed,BoW,LinearSVM,0.7145708582834331,0.6777896862547812,0.650236467594165,0.6560923363797779,0.7138143276689033
pyarabic hamza tashkeel preprocessed,BoW,XGBoost,0.6686626746506986,0.6212220101685704,0.564859928467642,0.5813642477092105,0.6664279288769737
pyarabic hamza tashkeel preprocessed,TF-IDF,MultinomialNB,0.6217564870259481,0.4551991604752053,0.36799397969540204,0.377754760936546,0.5981217832206637
pyarabic hamza tashkeel preprocessed,TF-IDF,LinearSVM,0.7395209580838323,0.7180112840251291,0.6468203399061794,0.6739674005368252,0.7383198064062342
pyarabic hamza tashkeel preprocessed,TF-IDF,XGBoost,0.6526946107784432,0.6361217835110518,0.5577640254905897,0.588268525320883,0.65207863858109
pyarabic hamza tashkeel preprocessed,Word2Vec-SG,LinearSVM,0.2774451097804391,0.17952841906507122,0.16374763079724525,0.149612261773312,0.24239101744142239
pyarabic hamza tashkeel preprocessed,Word2Vec-SG,XGBoost,0.4351297405189621,0.42234174548216274,0.3334578614645367,0.34214701748603044,0.4217087291382764
pyarabic hamza tashkeel preprocessed,Word2Vec-CBOW,LinearSVM,0.21157684630738524,0.1428841005227922,0.10401881873919583,0.0946952131416377,0.16486112410240036
pyarabic hamza tashkeel preprocessed,Word2Vec-CBOW,XGBoost,0.4111776447105788,0.441806457378211,0.29952031208758595,0.3278544396253367,0.4003447810167645
